
"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Pad-X(mm)","Pad-Y(mm)"
"J8","ICD15S13E4GX00LF","TopLayer","AMPHENOL_ICD15S13E4GX00LF","129.9280mm","65.6590mm","0","Conn High Density D-Sub SKT 15 POS 2.28mm Solder RA Thru-Hole 15 Terminal 1 Port","12.9600mm","129.9280mm","134.2330mm","68.1990mm"
"AJ 2","KLPX-0848A-2-R","TopLayer","KLPX0848A2R","103.3780mm","64.5520mm","90","Description","0.0000mm","103.3780mm","103.3780mm","62.3020mm"
"AJ 1","KLPX-0848A-2-W","TopLayer","KLPX0848A2W","87.2490mm","64.4800mm","90","Description","0.0000mm","87.2490mm","87.2490mm","62.2300mm"
"J9","G801P302005EU","TopLayer","AMPHENOL_G801P302005EU","190.8810mm","74.0410mm","0","","2.5400mm","190.8810mm","184.5310mm","74.0410mm"
"U3","PCM5102APW","TopLayer","SOP65P640X120-20N","158.0507mm","85.7140mm","0","2VRMS DirectPath™, DAC estéreo de áudio de 112dB com interface PCM de 32 bits e 384kHz 20-TSSOP -25 a 85","0.0000mm","158.0507mm","155.1807mm","88.6390mm"
"U2","2223","TopLayer","2223_ADA","172.8470mm","100.2030mm","270","Description","0.0000mm","171.5770mm","174.1170mm","124.3330mm"
"U1","FE1.1S-BQFN24B","TopLayer","QFN50P400X400X80-25N","158.0932mm","104.5210mm","0","USB Hub USB 2.0 WQFN-24 Interface Controllers RoHS","0.0000mm","158.0932mm","156.1582mm","105.7710mm"
"TP3","�1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","194.5640mm","67.5640mm","90","1.0mm circular SMD testpad","0.0000mm","194.5640mm","194.5640mm","67.5640mm"
"TP2","�1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","173.4820mm","67.8180mm","90","1.0mm circular SMD testpad","0.0000mm","173.4820mm","173.4820mm","67.8180mm"
"TP1","�1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","161.1630mm","110.8710mm","90","1.0mm circular SMD testpad","0.0000mm","161.1630mm","161.1630mm","110.8710mm"
"SB2","Solderbridge","TopLayer","Solderbridge","185.1660mm","67.8180mm","0","Solderbridge","0.0000mm","185.1660mm","184.8160mm","67.8180mm"
"SB1","Solderbridge","TopLayer","Solderbridge","164.8460mm","110.8710mm","0","Solderbridge","0.0000mm","164.8460mm","164.4960mm","110.8710mm"
"R36","33R","TopLayer","RESC1005X04L","168.5290mm","76.0730mm","180","Resistor, �5%, 0.063W","0.0000mm","168.5290mm","169.0290mm","76.0730mm"
"R35","33R","TopLayer","RESC1005X04L","168.5290mm","78.6130mm","180","Resistor, �5%, 0.063W","0.0000mm","168.5290mm","169.0290mm","78.6130mm"
"R34","1k3","TopLayer","RESC1005X04L","141.7240mm","72.6440mm","90","Resistor, �5%, 0.063W","0.0000mm","141.7240mm","141.7240mm","72.1440mm"
"R33","1k3","TopLayer","RESC1005X04L","132.3260mm","72.6280mm","90","Resistor, �5%, 0.063W","0.0000mm","132.3260mm","132.3260mm","72.1280mm"
"R32","1k3","TopLayer","RESC1005X04L","140.4540mm","72.6440mm","270","Resistor, �5%, 0.063W","0.0000mm","140.4540mm","140.4540mm","73.1440mm"
"R31","1k3","TopLayer","RESC1005X04L","131.0560mm","72.6280mm","270","Resistor, �5%, 0.063W","0.0000mm","131.0560mm","131.0560mm","73.1280mm"
"R30","680R","TopLayer","RESC1005X04L","140.3270mm","70.8660mm","180","Resistor, �5%, 0.063W","0.0000mm","140.3270mm","140.8270mm","70.8660mm"
"R29","680R","TopLayer","RESC1005X04L","131.5640mm","70.8500mm","180","Resistor, �5%, 0.063W","0.0000mm","131.5640mm","132.0640mm","70.8500mm"
"R28","1k3","TopLayer","RESC1005X04L","139.1840mm","72.6440mm","270","Resistor, �5%, 0.063W","0.0000mm","139.1840mm","139.1840mm","73.1440mm"
